Country Name,Sex,Year,HCI
Heavily indebted poor countries (HIPC),Female,2010,
Croatia,Female,2010,0.735488772392273
Haiti,Female,2010,
Hungary,Female,2010,0.725106477737427
IBRD only,Female,2010,
IDA & IBRD total,Female,2010,
IDA total,Female,2010,
IDA blend,Female,2010,
Indonesia,Female,2010,0.510594189167023
IDA only,Female,2010,
Isle of Man,Female,2010,
India,Female,2010,
Not classified,Female,2010,
Ireland,Female,2010,0.790237247943878
"Iran, Islamic Rep.",Female,2010,0.577054619789124
Iraq,Female,2010,
Iceland,Female,2010,0.772066056728363
Israel,Female,2010,0.7412348985672
Italy,Female,2010,0.767416477203369
Jamaica,Female,2010,
Jordan,Female,2010,0.585698187351227
Japan,Female,2010,
Kazakhstan,Female,2010,0.628996968269348
Kenya,Female,2010,
Kyrgyz Republic,Female,2010,
Cambodia,Female,2010,
Kiribati,Female,2010,
St. Kitts and Nevis,Female,2010,
"Korea, Rep.",Female,2010,0.850352644920349
Kuwait,Female,2010,0.604347944259644
Latin America & Caribbean (excluding high income),Female,2010,
Lao PDR,Female,2010,
Lebanon,Female,2010,
Liberia,Female,2010,
Libya,Female,2010,
St. Lucia,Female,2010,
Latin America & Caribbean,Female,2010,
Least developed countries: UN classification,Female,2010,
Low income,Female,2010,
Liechtenstein,Female,2010,
Sri Lanka,Female,2010,
Lower middle income,Female,2010,
Low & middle income,Female,2010,
Lesotho,Female,2010,0.360403001308441
Late-demographic dividend,Female,2010,
Lithuania,Female,2010,0.752927780151367
Luxembourg,Female,2010,0.718162536621094
Latvia,Female,2010,0.728277862071991
"Macao SAR, China",Female,2010,0.67076313495636
St. Martin (French part),Female,2010,
Morocco,Female,2010,0.473682910203934
Monaco,Female,2010,
Moldova,Female,2010,0.581561088562012
Madagascar,Female,2010,0.396376132965088
Maldives,Female,2010,
Middle East & North Africa,Female,2010,
Mexico,Female,2010,0.604089438915253
Marshall Islands,Female,2010,
Middle income,Female,2010,
North Macedonia,Female,2010,0.548776090145111
Mali,Female,2010,
Malta,Female,2010,0.713866949081421
Myanmar,Female,2010,
Middle East & North Africa (excluding high income),Female,2010,
Montenegro,Female,2010,0.60563451051712
Mongolia,Female,2010,
Northern Mariana Islands,Female,2010,
Mozambique,Female,2010,
Mauritania,Female,2010,
Mauritius,Female,2010,0.621907472610474
Malawi,Female,2010,0.376364469528198
Malaysia,Female,2010,0.607167363166809
North America,Female,2010,
Namibia,Female,2010,0.405374109745026
New Caledonia,Female,2010,
Niger,Female,2010,
Nigeria,Female,2010,
Nicaragua,Female,2010,
Netherlands,Female,2010,0.80491441488266
Norway,Female,2010,0.789397835731506
Nepal,Female,2010,
Nauru,Female,2010,
New Zealand,Female,2010,0.801813781261444
OECD members,Female,2010,
Oman,Female,2010,0.5806525349617
Other small states,Female,2010,
Pakistan,Female,2010,
Panama,Female,2010,0.534742176532745
Peru,Female,2010,0.559419393539429
Philippines,Female,2010,
Palau,Female,2010,
Papua New Guinea,Female,2010,
Poland,Female,2010,
Pre-demographic dividend,Female,2010,
Puerto Rico,Female,2010,
"Korea, Dem. People's Rep.",Female,2010,
Portugal,Female,2010,0.764939963817596
Paraguay,Female,2010,0.521709263324738
West Bank and Gaza,Female,2010,
Pacific island small states,Female,2010,
Post-demographic dividend,Female,2010,
French Polynesia,Female,2010,
Qatar,Female,2010,0.610203802585602
Romania,Female,2010,0.633587181568146
Russian Federation,Female,2010,
Rwanda,Female,2010,
South Asia,Female,2010,
Saudi Arabia,Female,2010,0.561245560646057
Sudan,Female,2010,
Senegal,Female,2010,0.397871762514114
Singapore,Female,2010,0.862445950508118
Solomon Islands,Female,2010,
Sierra Leone,Female,2010,
El Salvador,Female,2010,
San Marino,Female,2010,
Somalia,Female,2010,
Serbia,Female,2010,0.668373823165894
Sub-Saharan Africa (excluding high income),Female,2010,
South Sudan,Female,2010,
Sub-Saharan Africa,Female,2010,
Small states,Female,2010,
Sao Tome and Principe,Female,2010,
Suriname,Female,2010,
Slovak Republic,Female,2010,0.713130354881287
Slovenia,Female,2010,0.78823983669281
Sweden,Female,2010,0.780195534229279
Eswatini,Female,2010,0.323909968137741
Sint Maarten (Dutch part),Female,2010,
Seychelles,Female,2010,0.585028409957886
Syrian Arab Republic,Female,2010,
Turks and Caicos Islands,Female,2010,
Chad,Female,2010,0.278250098228455
East Asia & Pacific (IDA & IBRD countries),Female,2010,
Europe & Central Asia (IDA & IBRD countries),Female,2010,
Togo,Female,2010,0.366503447294235
Thailand,Female,2010,0.613158941268921
Tajikistan,Female,2010,
Turkmenistan,Female,2010,
Latin America & the Caribbean (IDA & IBRD countries),Female,2010,
Timor-Leste,Female,2010,0.420094490051269
Middle East & North Africa (IDA & IBRD countries),Female,2010,
Tonga,Female,2010,
South Asia (IDA & IBRD),Female,2010,
Sub-Saharan Africa (IDA & IBRD countries),Female,2010,
Trinidad and Tobago,Female,2010,0.58830726146698
Tunisia,Female,2010,0.545452237129211
Turkiye,Female,2010,0.633837819099426
Tuvalu,Female,2010,
Tanzania,Female,2010,
Uganda,Female,2010,
Ukraine,Female,2010,0.677334010601044
Upper middle income,Female,2010,
Uruguay,Female,2010,0.619414985179901
United States,Female,2010,0.704651892185211
Uzbekistan,Female,2010,
St. Vincent and the Grenadines,Female,2010,
"Venezuela, RB",Female,2010,
British Virgin Islands,Female,2010,
Virgin Islands (U.S.),Female,2010,
Vietnam,Female,2010,0.680296421051025
Vanuatu,Female,2010,
World,Female,2010,
Samoa,Female,2010,
Kosovo,Female,2010,
"Yemen, Rep.",Female,2010,
South Africa,Female,2010,0.4383764564991
Zambia,Female,2010,
Zimbabwe,Female,2010,0.414920300245285
Aruba,Female,2017,
Africa Eastern and Southern,Female,2017,
Afghanistan,Female,2017,0.363
Africa Western and Central,Female,2017,
Angola,Female,2017,0.358
Albania,Female,2017,0.637
Andorra,Female,2017,
Arab World,Female,2017,
United Arab Emirates,Female,2017,
Argentina,Female,2017,0.632
Armenia,Female,2017,0.593
American Samoa,Female,2017,
Antigua and Barbuda,Female,2017,
Australia,Female,2017,0.805
Austria,Female,2017,0.798
Azerbaijan,Female,2017,
Burundi,Female,2017,0.387
Belgium,Female,2017,0.766
Benin,Female,2017,0.403
Burkina Faso,Female,2017,0.36
Bangladesh,Female,2017,0.492
Bulgaria,Female,2017,0.707
Bahrain,Female,2017,0.699
"Bahamas, The",Female,2017,
Bosnia and Herzegovina,Female,2017,0.627
Belarus,Female,2017,
Belize,Female,2017,
Bermuda,Female,2017,
Bolivia,Female,2017,
Brazil,Female,2017,
Barbados,Female,2017,
Brunei Darussalam,Female,2017,
Bhutan,Female,2017,
Botswana,Female,2017,0.446
Central African Republic,Female,2017,
Canada,Female,2017,0.808
Central Europe and the Baltics,Female,2017,
Switzerland,Female,2017,0.774
Channel Islands,Female,2017,
Chile,Female,2017,0.682
China,Female,2017,0.674
Cote d'Ivoire,Female,2017,0.323
Cameroon,Female,2017,0.393
"Congo, Dem. Rep.",Female,2017,0.37
"Congo, Rep.",Female,2017,0.411
Colombia,Female,2017,0.609
Comoros,Female,2017,0.41
Cabo Verde,Female,2017,
Costa Rica,Female,2017,0.621
Caribbean small states,Female,2017,
Cuba,Female,2017,
Curacao,Female,2017,
Cayman Islands,Female,2017,
Cyprus,Female,2017,0.759
Czechia,Female,2017,0.8
Germany,Female,2017,0.802
Djibouti,Female,2017,
Dominica,Female,2017,
Denmark,Female,2017,0.789
Dominican Republic,Female,2017,0.51
Algeria,Female,2017,0.545
East Asia & Pacific (excluding high income),Female,2017,
Early-demographic dividend,Female,2017,
East Asia & Pacific,Female,2017,
Europe & Central Asia (excluding high income),Female,2017,
Europe & Central Asia,Female,2017,
Ecuador,Female,2017,0.619
"Egypt, Arab Rep.",Female,2017,0.505
Euro area,Female,2017,
Eritrea,Female,2017,
Spain,Female,2017,0.757
Estonia,Female,2017,0.783
Ethiopia,Female,2017,0.386
European Union,Female,2017,
Fragile and conflict affected situations,Female,2017,
Finland,Female,2017,0.848
Fiji,Female,2017,
France,Female,2017,
Faroe Islands,Female,2017,
"Micronesia, Fed. Sts.",Female,2017,
Gabon,Female,2017,0.468
United Kingdom,Female,2017,0.789
Georgia,Female,2017,0.643
Ghana,Female,2017,0.446
Gibraltar,Female,2017,
Guinea,Female,2017,0.352
"Gambia, The",Female,2017,0.41
Guinea-Bissau,Female,2017,
Equatorial Guinea,Female,2017,
Greece,Female,2017,0.694
Grenada,Female,2017,
Greenland,Female,2017,
Guatemala,Female,2017,0.469
Guam,Female,2017,
Guyana,Female,2017,0.521
High income,Female,2017,
"Hong Kong SAR, China",Female,2017,0.833
Honduras,Female,2017,0.502
Heavily indebted poor countries (HIPC),Female,2017,
Croatia,Female,2017,0.747
Haiti,Female,2017,0.463
Hungary,Female,2017,0.729
IBRD only,Female,2017,
IDA & IBRD total,Female,2017,
IDA total,Female,2017,
IDA blend,Female,2017,
Indonesia,Female,2017,0.55
IDA only,Female,2017,
Isle of Man,Female,2017,
India,Female,2017,0.451
Not classified,Female,2017,
Ireland,Female,2017,
"Iran, Islamic Rep.",Female,2017,0.602
Iraq,Female,2017,0.412
Iceland,Female,2017,0.758
Israel,Female,2017,
Italy,Female,2017,0.774
Jamaica,Female,2017,0.558
Jordan,Female,2017,0.589
Japan,Female,2017,
Kazakhstan,Female,2017,0.78
Kenya,Female,2017,
Kyrgyz Republic,Female,2017,0.603
Cambodia,Female,2017,
Kiribati,Female,2017,
St. Kitts and Nevis,Female,2017,
"Korea, Rep.",Female,2017,0.852
Kuwait,Female,2017,0.599
Latin America & Caribbean (excluding high income),Female,2017,
Lao PDR,Female,2017,0.462
Lebanon,Female,2017,0.537
Liberia,Female,2017,0.325
Libya,Female,2017,
St. Lucia,Female,2017,
Latin America & Caribbean,Female,2017,
Least developed countries: UN classification,Female,2017,
Low income,Female,2017,
Liechtenstein,Female,2017,
Sri Lanka,Female,2017,
Lower middle income,Female,2017,
Low & middle income,Female,2017,
Lesotho,Female,2017,
Late-demographic dividend,Female,2017,
Lithuania,Female,2017,0.761
Luxembourg,Female,2017,0.707
Latvia,Female,2017,0.773
"Macao SAR, China",Female,2017,0.787
St. Martin (French part),Female,2017,
Morocco,Female,2017,0.511
Monaco,Female,2017,
Moldova,Female,2017,0.603
Madagascar,Female,2017,0.391
Maldives,Female,2017,
Middle East & North Africa,Female,2017,
Mexico,Female,2017,0.62
Marshall Islands,Female,2017,
Middle income,Female,2017,
North Macedonia,Female,2017,0.548
Mali,Female,2017,0.315
Malta,Female,2017,0.731
Myanmar,Female,2017,0.49
Middle East & North Africa (excluding high income),Female,2017,
Montenegro,Female,2017,
Mongolia,Female,2017,
Northern Mariana Islands,Female,2017,
Mozambique,Female,2017,
Mauritania,Female,2017,0.357
Mauritius,Female,2017,
Malawi,Female,2017,
Malaysia,Female,2017,0.645
North America,Female,2017,
Namibia,Female,2017,
New Caledonia,Female,2017,
Niger,Female,2017,0.312
Nigeria,Female,2017,0.338
Nicaragua,Female,2017,0.55
Netherlands,Female,2017,0.813
Norway,Female,2017,0.788
Nepal,Female,2017,
Nauru,Female,2017,
New Zealand,Female,2017,0.785
OECD members,Female,2017,
Oman,Female,2017,0.657
Other small states,Female,2017,
Pakistan,Female,2017,0.384
Panama,Female,2017,0.544
Peru,Female,2017,0.589
Philippines,Female,2017,0.579
Palau,Female,2017,
Papua New Guinea,Female,2017,0.393
Poland,Female,2017,0.781
Pre-demographic dividend,Female,2017,
Puerto Rico,Female,2017,
"Korea, Dem. People's Rep.",Female,2017,
Portugal,Female,2017,0.785
Paraguay,Female,2017,0.535
West Bank and Gaza,Female,2017,0.576
Pacific island small states,Female,2017,
Post-demographic dividend,Female,2017,
French Polynesia,Female,2017,
Qatar,Female,2017,0.654
Romania,Female,2017,0.628
Russian Federation,Female,2017,0.783
Rwanda,Female,2017,0.388
South Asia,Female,2017,
Saudi Arabia,Female,2017,0.612
Sudan,Female,2017,
Senegal,Female,2017,0.428
Singapore,Female,2017,0.899
Solomon Islands,Female,2017,0.451
Sierra Leone,Female,2017,0.351
El Salvador,Female,2017,0.512
San Marino,Female,2017,
Somalia,Female,2017,
Serbia,Female,2017,0.771
Sub-Saharan Africa (excluding high income),Female,2017,
South Sudan,Female,2017,
Sub-Saharan Africa,Female,2017,
Small states,Female,2017,
Sao Tome and Principe,Female,2017,
Suriname,Female,2017,
Slovak Republic,Female,2017,0.718
Slovenia,Female,2017,0.811
Sweden,Female,2017,0.815
Eswatini,Female,2017,
Sint Maarten (Dutch part),Female,2017,
Seychelles,Female,2017,
Syrian Arab Republic,Female,2017,
Turks and Caicos Islands,Female,2017,
Chad,Female,2017,0.289
East Asia & Pacific (IDA & IBRD countries),Female,2017,
Europe & Central Asia (IDA & IBRD countries),Female,2017,
Togo,Female,2017,0.408
Thailand,Female,2017,0.614
Tajikistan,Female,2017,0.529
Turkmenistan,Female,2017,
Latin America & the Caribbean (IDA & IBRD countries),Female,2017,
Timor-Leste,Female,2017,0.472
Middle East & North Africa (IDA & IBRD countries),Female,2017,
Tonga,Female,2017,0.523
South Asia (IDA & IBRD),Female,2017,
Sub-Saharan Africa (IDA & IBRD countries),Female,2017,
Trinidad and Tobago,Female,2017,
Tunisia,Female,2017,0.53
Turkiye,Female,2017,0.63
Tuvalu,Female,2017,
Tanzania,Female,2017,0.41
Uganda,Female,2017,
Ukraine,Female,2017,0.686
Upper middle income,Female,2017,
Uruguay,Female,2017,
United States,Female,2017,0.757
Uzbekistan,Female,2017,
St. Vincent and the Grenadines,Female,2017,
"Venezuela, RB",Female,2017,
British Virgin Islands,Female,2017,
Virgin Islands (U.S.),Female,2017,
Vietnam,Female,2017,
Vanuatu,Female,2017,0.489
World,Female,2017,
Samoa,Female,2017,
Kosovo,Female,2017,0.575
"Yemen, Rep.",Female,2017,0.363
South Africa,Female,2017,0.408
Zambia,Female,2017,
Zimbabwe,Female,2017,
Aruba,Female,2018,
Africa Eastern and Southern,Female,2018,
Afghanistan,Female,2018,0.363862872123718
Africa Western and Central,Female,2018,
Angola,Female,2018,0.353776037693024
Albania,Female,2018,0.662464320659637
Andorra,Female,2018,
Arab World,Female,2018,
United Arab Emirates,Female,2018,0.687744379043579
Argentina,Female,2018,0.627702116966248
Armenia,Female,2018,0.606254577636719
American Samoa,Female,2018,
Antigua and Barbuda,Female,2018,0.597584545612335
Australia,Female,2018,0.79529595375061
Austria,Female,2018,0.779697299003601
Azerbaijan,Female,2018,0.645950555801392
Burundi,Female,2018,0.406873166561127
Belgium,Female,2018,0.771660506725311
Benin,Female,2018,0.397853910923004
Burkina Faso,Female,2018,0.381130397319794
Bangladesh,Female,2018,0.47152790427208
Bulgaria,Female,2018,0.688391983509064
Bahrain,Female,2018,0.693866312503815
"Bahamas, The",Female,2018,
Bosnia and Herzegovina,Female,2018,0.62741082906723
Belarus,Female,2018,
Belize,Female,2018,
Bermuda,Female,2018,
Bolivia,Female,2018,
Brazil,Female,2018,
Barbados,Female,2018,
Brunei Darussalam,Female,2018,
Bhutan,Female,2018,
Botswana,Female,2018,0.438422560691834
Central African Republic,Female,2018,
Canada,Female,2018,0.810381829738617
Central Europe and the Baltics,Female,2018,
Switzerland,Female,2018,0.771320283412933
Channel Islands,Female,2018,
Chile,Female,2018,0.677564680576324
China,Female,2018,0.65461403131485
Cote d'Ivoire,Female,2018,0.366944164037705
Cameroon,Female,2018,0.393087118864059
"Congo, Dem. Rep.",Female,2018,0.366041839122772
"Congo, Rep.",Female,2018,0.426426708698273
Colombia,Female,2018,0.612245380878448
Comoros,Female,2018,0.40705806016922
Cabo Verde,Female,2018,
Costa Rica,Female,2018,0.616934180259705
Caribbean small states,Female,2018,
Cuba,Female,2018,
Curacao,Female,2018,
Cayman Islands,Female,2018,
Cyprus,Female,2018,0.762143433094025
Czechia,Female,2018,0.781824350357056
Germany,Female,2018,0.776928842067719
Djibouti,Female,2018,
Dominica,Female,2018,0.580771148204803
Denmark,Female,2018,0.785993933677673
Dominican Republic,Female,2018,0.526039242744446
Algeria,Female,2018,0.552215874195099
East Asia & Pacific (excluding high income),Female,2018,
Early-demographic dividend,Female,2018,
East Asia & Pacific,Female,2018,
Europe & Central Asia (excluding high income),Female,2018,
Europe & Central Asia,Female,2018,
Ecuador,Female,2018,0.61447948217392
"Egypt, Arab Rep.",Female,2018,0.511706471443176
Euro area,Female,2018,
Eritrea,Female,2018,
Spain,Female,2018,0.750937700271606
Estonia,Female,2018,0.80621862411499
Ethiopia,Female,2018,0.385545402765274
European Union,Female,2018,
Fragile and conflict affected situations,Female,2018,
Finland,Female,2018,0.844707667827606
Fiji,Female,2018,
France,Female,2018,0.773170411586761
Faroe Islands,Female,2018,
"Micronesia, Fed. Sts.",Female,2018,0.481462091207504
Gabon,Female,2018,0.471648037433624
United Kingdom,Female,2018,0.786778211593628
Georgia,Female,2018,0.656573116779327
Ghana,Female,2018,0.450379937887192
Gibraltar,Female,2018,
Guinea,Female,2018,0.354431331157684
"Gambia, The",Female,2018,0.416072845458984
Guinea-Bissau,Female,2018,
Equatorial Guinea,Female,2018,
Greece,Female,2018,0.716802716255188
Grenada,Female,2018,0.578019738197327
Greenland,Female,2018,
Guatemala,Female,2018,0.465891808271408
Guam,Female,2018,
Guyana,Female,2018,0.515205979347229
High income,Female,2018,
"Hong Kong SAR, China",Female,2018,0.849131226539612
Honduras,Female,2018,0.492135971784592
Heavily indebted poor countries (HIPC),Female,2018,
Croatia,Female,2018,0.752575933933258
Haiti,Female,2018,0.457954049110413
Hungary,Female,2018,0.729179322719574
IBRD only,Female,2018,
IDA & IBRD total,Female,2018,
IDA total,Female,2018,
IDA blend,Female,2018,
Indonesia,Female,2018,0.552363872528076
IDA only,Female,2018,
Isle of Man,Female,2018,
India,Female,2018,0.491595357656479
Not classified,Female,2018,
Ireland,Female,2018,0.821852087974548
"Iran, Islamic Rep.",Female,2018,0.611038029193878
Iraq,Female,2018,0.412621885538101
Iceland,Female,2018,0.763281285762787
Israel,Female,2018,0.780889511108398
Italy,Female,2018,0.759639143943787
Jamaica,Female,2018,0.568536877632141
Jordan,Female,2018,0.575492382049561
Japan,Female,2018,
Kazakhstan,Female,2018,0.807867705821991
Kenya,Female,2018,
Kyrgyz Republic,Female,2018,0.614835500717163
Cambodia,Female,2018,
Kiribati,Female,2018,0.509249091148376
St. Kitts and Nevis,Female,2018,0.587617099285126
"Korea, Rep.",Female,2018,0.85276734828949
Kuwait,Female,2018,0.592418909072876
Latin America & Caribbean (excluding high income),Female,2018,
Lao PDR,Female,2018,0.465173482894898
Lebanon,Female,2018,
Liberia,Female,2018,0.322331607341766
Libya,Female,2018,
St. Lucia,Female,2018,0.616230547428131
Latin America & Caribbean,Female,2018,
Least developed countries: UN classification,Female,2018,
Low income,Female,2018,
Liechtenstein,Female,2018,
Sri Lanka,Female,2018,
Lower middle income,Female,2018,
Low & middle income,Female,2018,
Lesotho,Female,2018,
Late-demographic dividend,Female,2018,
Lithuania,Female,2018,0.777683079242706
Luxembourg,Female,2018,0.702260851860046
Latvia,Female,2018,0.790420711040497
"Macao SAR, China",Female,2018,0.788205683231354
St. Martin (French part),Female,2018,
Morocco,Female,2018,0.505192995071411
Monaco,Female,2018,
Moldova,Female,2018,0.605798840522766
Madagascar,Female,2018,0.396541982889175
Maldives,Female,2018,
Middle East & North Africa,Female,2018,
Mexico,Female,2018,0.627252817153931
Marshall Islands,Female,2018,0.421741932630539
Middle income,Female,2018,
North Macedonia,Female,2018,0.549441337585449
Mali,Female,2018,0.32084733247757
Malta,Female,2018,0.729845523834229
Myanmar,Female,2018,0.487348854541779
Middle East & North Africa (excluding high income),Female,2018,
Montenegro,Female,2018,0.638743340969086
Mongolia,Female,2018,0.639347791671753
Northern Mariana Islands,Female,2018,
Mozambique,Female,2018,
Mauritania,Female,2018,0.380737364292145
Mauritius,Female,2018,
Malawi,Female,2018,
Malaysia,Female,2018,0.65517657995224
North America,Female,2018,
Namibia,Female,2018,
New Caledonia,Female,2018,
Niger,Female,2018,0.31536591053009
Nigeria,Female,2018,0.359684616327286
Nicaragua,Female,2018,0.526444435119629
Netherlands,Female,2018,0.815429925918579
Norway,Female,2018,0.783224105834961
Nepal,Female,2018,
Nauru,Female,2018,
New Zealand,Female,2018,0.788566470146179
OECD members,Female,2018,
Oman,Female,2018,0.651619374752045
Other small states,Female,2018,
Pakistan,Female,2018,0.396372228860855
Panama,Female,2018,0.528074860572815
Peru,Female,2018,0.597689688205719
Philippines,Female,2018,0.578967392444611
Palau,Female,2018,0.594668805599213
Papua New Guinea,Female,2018,0.423925995826721
Poland,Female,2018,0.791624844074249
Pre-demographic dividend,Female,2018,
Puerto Rico,Female,2018,
"Korea, Dem. People's Rep.",Female,2018,
Portugal,Female,2018,0.792505025863647
Paraguay,Female,2018,0.530404150485992
West Bank and Gaza,Female,2018,0.599004745483398
Pacific island small states,Female,2018,
Post-demographic dividend,Female,2018,
French Polynesia,Female,2018,
Qatar,Female,2018,0.658281087875366
Romania,Female,2018,0.621309876441956
Russian Federation,Female,2018,0.776615738868713
Rwanda,Female,2018,0.390757828950882
South Asia,Female,2018,
Saudi Arabia,Female,2018,0.611184060573578
Sudan,Female,2018,0.384015113115311
Senegal,Female,2018,0.437756150960922
Singapore,Female,2018,0.900132894515991
Solomon Islands,Female,2018,0.445292115211487
Sierra Leone,Female,2018,0.35982084274292
El Salvador,Female,2018,0.564187049865723
San Marino,Female,2018,
Somalia,Female,2018,
Serbia,Female,2018,0.774211764335632
Sub-Saharan Africa (excluding high income),Female,2018,
South Sudan,Female,2018,
Sub-Saharan Africa,Female,2018,
Small states,Female,2018,
Sao Tome and Principe,Female,2018,
Suriname,Female,2018,
Slovak Republic,Female,2018,0.703628182411194
Slovenia,Female,2018,0.813600242137909
Sweden,Female,2018,0.815964818000793
Eswatini,Female,2018,
Sint Maarten (Dutch part),Female,2018,
Seychelles,Female,2018,
Syrian Arab Republic,Female,2018,
Turks and Caicos Islands,Female,2018,
Chad,Female,2018,0.290844678878784
East Asia & Pacific (IDA & IBRD countries),Female,2018,
Europe & Central Asia (IDA & IBRD countries),Female,2018,
Togo,Female,2018,0.422161847352982
Thailand,Female,2018,0.636277079582214
Tajikistan,Female,2018,0.540631592273712
Turkmenistan,Female,2018,
Latin America & the Caribbean (IDA & IBRD countries),Female,2018,
Timor-Leste,Female,2018,0.47151705622673
Middle East & North Africa (IDA & IBRD countries),Female,2018,
Tonga,Female,2018,0.545847237110138
South Asia (IDA & IBRD),Female,2018,
Sub-Saharan Africa (IDA & IBRD countries),Female,2018,
Trinidad and Tobago,Female,2018,
Tunisia,Female,2018,0.531710803508759
Turkiye,Female,2018,0.634325802326202
Tuvalu,Female,2018,0.459190458059311
Tanzania,Female,2018,0.397493064403534
Uganda,Female,2018,
Ukraine,Female,2018,0.681944489479065
Upper middle income,Female,2018,
Uruguay,Female,2018,0.626533150672913
United States,Female,2018,0.730934500694275
Uzbekistan,Female,2018,
St. Vincent and the Grenadines,Female,2018,0.56624311208725
"Venezuela, RB",Female,2018,
British Virgin Islands,Female,2018,
Virgin Islands (U.S.),Female,2018,
Vietnam,Female,2018,0.725250840187073
Vanuatu,Female,2018,0.458578884601593
World,Female,2018,
Samoa,Female,2018,0.544876158237457
Kosovo,Female,2018,0.588823199272156
"Yemen, Rep.",Female,2018,0.366921722888946
South Africa,Female,2018,0.443053871393204
Zambia,Female,2018,
Zimbabwe,Female,2018,
Aruba,Female,2020,
Africa Eastern and Southern,Female,2020,
Afghanistan,Female,2020,0.368523985147476
Africa Western and Central,Female,2020,
Angola,Female,2020,0.355706423521042
Albania,Female,2020,0.664508581161499
Andorra,Female,2020,
Arab World,Female,2020,
United Arab Emirates,Female,2020,0.687648952007294
Argentina,Female,2020,0.613279402256012
Armenia,Female,2020,0.603098571300507
American Samoa,Female,2020,
Antigua and Barbuda,Female,2020,0.625670254230499
Australia,Female,2020,0.783872067928314
Austria,Female,2020,0.761190295219421
Azerbaijan,Female,2020,0.587314665317535
Burundi,Female,2020,0.403796821832657
Belgium,Female,2020,0.77233612537384
Benin,Female,2020,0.401228040456772
Burkina Faso,Female,2020,0.387948900461197
Bangladesh,Female,2020,0.477598071098328
Bulgaria,Female,2020,0.632297277450562
Bahrain,Female,2020,0.685615479946136
"Bahamas, The",Female,2020,
Bosnia and Herzegovina,Female,2020,0.591636478900909
Belarus,Female,2020,0.734237015247345
Belize,Female,2020,
Bermuda,Female,2020,
Bolivia,Female,2020,
Brazil,Female,2020,
Barbados,Female,2020,
